"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 07 13:50:35 CST 2022","Thu Jul 07 13:50:35 CST 2022","213","test_case","test_req","","","","用例标题  传正确的参数",""
"passed","Thu Jul 07 13:50:35 CST 2022","Thu Jul 07 13:50:35 CST 2022","57","test_case","test_req","","","","用例标题  传失效的token",""
"passed","Thu Jul 07 13:50:35 CST 2022","Thu Jul 07 13:50:35 CST 2022","0","test_case","test_demo1","","","","bbb测试用例",""
"passed","Thu Jul 07 13:50:35 CST 2022","Thu Jul 07 13:50:35 CST 2022","1","test_case","test_demo1","","","","aaa测试用例",""
